//Name	Sweat	Blush	Cropped-Position
レオン	134,67	95,56	-24,-41
ブノワ	115,27	98,44	-27,-39
フランネル	131,55	100,53	-23,-49
ハロルド	140,49	105,41	-20,-34
オーディン	145,76	112,59	-22,-46
ラズワルド	132,72	96,58	-21,-40
ゼロ	135,82	91,61	-21,-49
フェリシア	128,97	95,80	-21,-46
アクア	131,89	97,76	-20,-44
モズメ	132,103	92,73	-23,-49
ヒノカ	137,101	98,76	-22,-54
サクラ	137,100	95,86	-21,-53
オロチ	144,89	93,60	-21,-54
カゲロウ	137,69	112,77	-22,-51
カザハナ	126,101	83,86	-21,-46
セツナ	115,110	88,80	-18,-40
ユウギリ	125,88	93,51	-23,-45
オボロ	147,100	111,85	-23,-56
カミラ	111,57	109,76	-26,-50
エリーゼ	130,113	95,102	-21,-49
シャーロッテ	128,102	96,88	-21,-47
エルフィ	128,94	90,77	-17,-46
ピエリ	125,68	93,71	-27,-50
ベルカ	133,99	98,87	-22,-53
ルーナ	142,90	104,67	-24,-52
ニュクス	129,82	101,78	-21,-49
カンナ女	131,114	91,77	-20,-51
カンナ男	133,108	91,77	-24,-47
シグレ	139,67	102,53	-16,-38
ディーア	125,89	94,78	-23,-49
ゾフィー	119,57	89,70	-18,-46
ミドリコ	139,108	99,94	-23,-48
シノノメ	137,65	92,43	-19,-44
キサラギ	119,104	76,88	-21,-51
グレイ	140,74	100,60	-24,-42
キヌ	121,88	82,64	-20,-53
ヒサメ	110,82	106,75	-31,-52
ミタマ	134,101	104,94	-27,-50
マトイ	90,87	57,78	-17,-50
シャラ	126,104	80,83	-23,-52
ジークベルト	138,75	91,60	-22,-47
イグニス	130,68	100,53	-20,-41
フォレオ	138,97	98,76	-21,-54
ベロア	137,93	93,62	-25,-50
ルッツ	139,107	98,84	-23,-48
オフェリア	132,99	95,83	-20,-52
ソレイユ	132,84	84,68	-21,-44
エポニーヌ	138,88	104,83	-21,-48
アシュラ	133,93	95,82	-20,-58
フウガ	141,49	105,36	-21,-36
ユキムラ	137,74	99,62	-23,-44
イザナ	119,79	94,51	-20,-37
ギュンター	134,66	95,58	-19,-41
ナハト	106,76	83,72	-20,-41
リンカ	142,106	93,75	-19,-59
アンナ	144,86	106,72	-21,-51
クリムゾン	139,86	98,73	-21,-55
ドラジェ	138,94	93,80	-23,-50
フローラ	135,99	98,81	-21,-52
リリス	138,102	98,85	-21,-56
シェンメイ	128,86	103,65	-21,-45
シェンメイ影	128,86	103,65	-21,-45
ガロン	137,38	104,43	-21,-40
スメラギ	130,68	94,50	-19,-39
スメラギ影	130,68	94,50	-19,-39
ミコト	123,82	86,68	-20,-46
ミコト影	123,82	86,68	-20,-46
マルス	136,73	32,32	-22,-42
アイク	133,66	32,32	-22,-39
ルキナ	113,80	91,66	-18,-36
ルフレ	138,80	102,53	-26,-40
マクベス	112,65	95,46	-21,-42
ゾーラ	121,93	85,82	-21,-53
ガンズ	137,53	101,46	-25,-38
ララ	140,96	103,83	-20,-50
カシータ	141,85	0,0	-21,-43
クーリア	126,72	0,0	-21,-43
コタロウ	136,67	97,48	-21,-42
虹の賢者	138,86	97,73	-19,-50
ロンタオ	137,105	89,90	-21,-56
モズ	157,84	124,66	-19,-51
ダニエラ	154,75	109,70	-22,-45
ハイタカ	109,69	88,57	-13,-48
ウィリアム	125,53	88,39	-21,-40
ガザック	133,68	87,63	-21,-43
ファンク	161,54	129,37	-21,-30
ダイチ	132,71	107,61	-21,-41
セノウ	143,90	106,78	-21,-53
ヴァスハラ	131,40	97,30	-21,-29
ホルモン	131,60	88,39	-36,-47
バンバ	145,65	32,32	-20,-38
村人おじいさん黒	134,92	32,32	-20,-38
村人おばさん黒	141,87	32,32	-22,-37
村人お姉さん黒	131,91	32,32	-20,-38
村人お兄さん黒	141,74	32,32	-20,-38
村人子供黒	146,89	32,32	-23,-45
村人おじいさん白	88,119	32,32	-10,-56
村人おばさん白	138,96	32,32	-20,-38
村人お姉さん白	143,104	32,32	-21,-41
村人お兄さん白	137,79	32,32	-18,-45
村人子供白	146,107	32,32	-20,-38
クマゲラ	134,78	32,32	-21,-46
ゴーレム	32,32	32,32	-21,-36
ガルー	125,77	32,32	-16,-41
マーナガルム	125,77	32,32	-16,-41
ノスフェラトゥ	256,256	32,32	0,-61
溶けガロン	32,32	32,32	-18,-38
メイド	129,91	32,32	-21,-44
ソシアルナイト	32,32	32,32	-16,-39
ダークナイト	256,256	32,32	-21,-35
パラディン	110,75	32,32	-21,-45
アーマーナイト	126,87	32,32	-21,-40
ジェネラル	32,32	32,32	-21,-42
グレートナイト	32,32	32,32	-10,-40
ドラゴンナイト	32,32	32,32	-2,-44
ドラゴンマスター	75,98	32,32	-5,-51
レヴナントナイト	32,32	32,32	-18,-48
ランサー	144,71	32,32	-24,-40
ロッドナイト	138,94	32,32	-26,-45
ボウナイト	102,70	32,32	-16,-36
ストラテジスト	102,89	32,32	-16,-47
ダークマージ	118,80	32,32	-38,-48
ソーサラー	117,82	32,32	-22,-45
マーシナリー	120,74	32,32	-21,-47
ブレイブヒーロー	123,78	32,32	-17,-51
アクスファイター	128,61	32,32	-23,-35
バーサーカー	32,32	32,32	-17,-51
シーフ	89,104	32,32	-20,-44
アドベンチャラー	139,77	32,32	-25,-44
面をつけた透魔竜	32,32	32,32	-11,-22
ハイドラ	32,32	32,32	-18,-48
暗夜竜	256,256	32,32	-41,0
リリス竜	107,86	68,96	-7,-47
絡繰人形	32,32	32,32	-23,-49
妖狐	127,93	32,32	-29,-51
九尾の狐	127,93	32,32	-29,-51
侍	115,68	32,32	-18,-50
剣聖	125,72	32,32	-16,-40
兵法者	115,68	32,32	-36,-30
槍術士	134,72	32,32	-16,-40
槍聖	124,73	32,32	-16,-40
婆娑羅	128,66	32,32	-17,-45
忍	112,85	32,32	-21,-49
上忍	128,70	32,32	-21,-40
鬼人	151,109	32,32	-20,-43
鍛冶	150,80	32,32	-19,-40
修羅	32,32	32,32	-19,-57
弓使い	121,75	32,32	-21,-48
弓聖	146,67	32,32	-19,-45
天馬武者	126,81	32,32	-21,-48
聖天馬武者	106,81	32,32	-17,-43
金鵄武者	121,84	32,32	-21,-39
巫女	127,96	32,32	-18,-47
山伏	126,73	32,32	-23,-6
戦巫女	122,91	32,32	-20,-46
呪い師	122,76	32,32	-20,-49
陰陽師	135,77	32,32	-21,-35
絡繰師	124,79	32,32	-21,-50
村人男	115,80	32,32	-13,-34
村人女	133,96	32,32	-20,-49
薬商人	134,69	32,32	-19,-40
大商人	146,73	32,32	-22,-41
会話作業用マイユニ男1_1	133,73	91,45	-21,-46
会話作業用マイユニ男1_2	133,73	91,45	-21,-46
会話作業用マイユニ男2_1	133,73	91,45	-21,-46
会話作業用マイユニ男2_2	133,73	91,45	-21,-46
会話作業用マイユニ男3_1	133,73	91,45	-21,-46
会話作業用マイユニ女1_1	134,98	96,76	-23,-51
会話作業用マイユニ女1_2	134,98	96,76	-23,-51
会話作業用マイユニ女2_1	134,98	96,76	-23,-51
会話作業用マイユニ女2_2	134,98	96,76	-23,-51
会話作業用マイユニ女3_1	134,98	96,76	-23,-51
クロム右	131,59	98,47	-23,-36
クロム左	121,59	88,47	-23,-36
リズ	134,110	102,96	-23,-56
フレデリク	112,68	32,32	-24,-41
金ノスフェラトゥ	32,32	32,32	0,-61
ウード	123,52	88,66	-24,-48
アズール	125,63	94,50	-21,-38
セレナ	134,89	97,73	-20,-42
影リリス	138,101	32,32	-21,-56
善ハイドラ	117,90	32,32	-21,-46
